app_key,app_name,month,update_count,concrete_version_count,max_specificity,action_theme_summary,interpretation_boundary
xhh,小黑盒,2025-04,1,0,0,稳定性 / Bug 修复×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-05,3,0,0,稳定性 / Bug 修复×3,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-06,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-07,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-08,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-09,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-10,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-11,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2025-12,3,0,0,稳定性 / Bug 修复×3,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2026-01,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2026-02,1,0,0,稳定性 / Bug 修复×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2026-03,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
xhh,小黑盒,2026-04,2,0,0,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-04,1,1,3,平台账号 / 绑定名片×1；稳定性 / Bug 修复×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-05,4,1,3,稳定性 / Bug 修复×4；平台账号 / 绑定名片×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-06,4,4,3,稳定性 / Bug 修复×4；购买售后 / 消费信任×4,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-07,2,2,3,平台账号 / 绑定名片×2；活动福利 / 用户运营×2；稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-08,2,0,1,稳定性 / Bug 修复×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-09,4,4,3,稳定性 / Bug 修复×4；工具服务 / 查询功能×2；平台账号 / 绑定名片×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-10,3,1,2,稳定性 / Bug 修复×3；工具服务 / 查询功能×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-11,4,4,3,活动福利 / 用户运营×4；稳定性 / Bug 修复×4；平台账号 / 绑定名片×3,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2025-12,3,3,3,稳定性 / Bug 修复×3；工具服务 / 查询功能×2；平台账号 / 绑定名片×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2026-01,5,4,3,稳定性 / Bug 修复×5；内容供给 / 攻略资讯×3；其他 / 无法明确判断×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2026-02,2,2,3,内容供给 / 攻略资讯×2；稳定性 / Bug 修复×2；工具服务 / 查询功能×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2026-03,5,5,3,稳定性 / Bug 修复×5；内容供给 / 攻略资讯×4；工具服务 / 查询功能×1,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
ym,游民星空,2026-04,2,2,3,平台账号 / 绑定名片×2；稳定性 / Bug 修复×2；购买售后 / 消费信任×2,月度次数仅代表公开版本节奏，不解释能力强弱或下载变化原因
