issue_category,hit_count,negative_review_count,percent,keywords
强负向情绪表达,135,338,39.94,垃圾、答辩、倒闭、恶心、烂、太烂、离谱、无语、捞、小龟盒、小红盒、龟、龟盒、传家宝、耍猴
其他,67,338,19.82,未命中现有规则，建议人工复核
社区氛围与治理,54,338,15.98,喷子、骂人、引战、吵架、阴阳怪气、带节奏、水军、举报、审核、封禁、管理、发帖、删帖、删评论、删除、被删除、不让评论、下架、屏蔽、禁言、违规、规矩、低龄、聚集地、乌烟瘴气、恶臭、素质、贴吧、NGA、nga、论坛、中文平台、出征、性暗示、偷拍、恶俗、恶气熏天
功能体验与产品设计,50,338,14.79,功能、页面、界面、UI、ui、入口、搜索、更新、改版、难用、不好用、体验、设计、操作、找不到、不方便、麻烦、改得、新版、旧版、查战绩、战绩、小卡片、统计画面
客服与反馈处理,41,338,12.13,客服、反馈、申诉、处理、回复、没人管、不解决、联系、人工、售后、工单、工作人员、没人处理、石沉大海
交易与库存相关,41,338,12.13,交易、市场、库存、饰品、余额、订单、购买、买入、卖出、退款、钱包、价格、报价、发货、不退、退钱、退货、CDK、cdk、激活码、激活、不给退、不给下载、吞钱、发普通
性能与稳定性,39,338,11.54,卡顿、很卡、太卡、卡死、卡住、卡了、闪退、崩溃、加载慢、加载不出来、加载失败、打不开、进不去、黑屏、白屏、发热、掉帧、bug、BUG、报错、转圈、白屏转圈
商业化与消费信任问题,36,338,10.65,广告、开屏、弹窗、推广、会员、充值、付费、诱导、氪金、营销、恰饭、赞助、要钱、收费、消费、充钱、恰烂钱、割韭菜、诈骗、骗钱、骗子
账号登录与绑定问题,33,338,9.76,账号、账户、验证码、验证、手机号、实名、认证、封号、冻结、被封、封禁、账号异常、无法登录、登不上、登不了、密码、绑定、强制绑定、强行绑定、注销
活动福利与领取问题,18,338,5.33,领取、领不了、领不到、福利、活动页面、活动币、活动规则、任务、拉新、roll、ROLL、Roll、抽奖、兑换、奖励、礼包、白嫖
内容质量与资讯价值,13,338,3.85,资讯、新闻、攻略、评测、评分、重复、搬运、质量、没用、不准、云玩家、测评、没营养、水文、标题党、编故事、求爱
加速器与绑定体验,7,338,2.07,加速器、高级加速、免费加速、付费加速、强制绑定加速器、强行绑定加速器
